acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,streaming_platform
0.251265746031746,0.491589065255732,202686.38624338625,0.7350141093474427,0.0216071834567901,0.2202973544973545,-5.913216931216932,0.0592813051146384,119.7552733686067,0.4491640211640212,48.54673721340388,7,1,Spotify
0.1840741851851851,0.5950935185185185,200241.49814814812,0.7487166666666667,2.8644851851851847e-05,0.2224922222222222,-6.196218518518517,0.0487177777777777,110.24659814814814,0.6116444444444444,54.55648148148149,11,1,Spotify
0.1379222222222222,0.4676666666666667,241247.5555555556,0.6418888888888888,0.0324141888888888,0.1107777777777777,-8.370444444444443,0.0396444444444444,163.29166666666666,0.2702333333333333,26.222222222222214,2,1,Apple Music
0.0959349999999999,0.6935,167717.5,0.782,1.215e-05,0.15595,-7.0075,0.11395,125.498,0.6215,56.5,6,0,Spotify
0.918,0.389,241933.0,0.447,0.904,0.0878,-18.247,0.0439,130.27,0.197,0.0,2,1,Spotify
0.9545,0.0989499999999999,502847.0,0.002825,0.9705,0.1125,-33.3635,0.057,62.807,0.02745,47.0,3,1,Apple Music
0.0279999999999999,0.755,202824.0,0.792,0.0,0.0754,-4.238,0.0484,106.014,0.8440000000000001,83.0,6,1,Spotify
0.8799238095238096,0.24528231292517,325738.4166666667,0.1239843469387755,0.6519494897959184,0.160372619047619,-23.030585034013605,0.0442127551020408,97.8487193877551,0.1478037414965986,19.389455782312925,4,1,Apple Music
0.5146362494425744,0.5478093624032464,164708.9715095561,0.6002391965027888,0.0501013788051354,0.2002403148122297,-9.56056543838699,0.0597300381112513,122.47014119741353,0.7169022940146216,29.836818053424373,9,1,Apple Music
0.98,0.275,213229.0,0.0527,0.959,0.131,-23.881,0.046,80.28,0.505,0.0,3,1,Spotify
0.267,0.7240000000000001,144000.0,0.68,5.41e-06,0.118,-8.04,0.244,79.997,0.247,63.0,7,0,Apple Music
0.972,0.313,295667.0,0.0123,0.094,0.159,-28.118,0.035,70.7,0.1689999999999999,34.0,9,1,Spotify
0.633,0.569,211103.0,0.414,0.0,0.0916,-8.901,0.0758,168.02900000000002,0.35,80.0,10,1,Spotify
0.0768,0.581,171817.0,0.6729999999999999,0.0,0.4,-4.421,0.0549,160.07299999999998,0.621,79.0,0,0,Spotify
0.5786666666666668,0.5940714285714286,198442.3571428572,0.5095514285714285,0.2840085976190476,0.4318011904761905,-13.484190476190475,0.0648988095238095,98.6332738095238,0.6063095238095239,37.20238095238096,11,1,Apple Music
0.894,0.69,150853.0,0.247,0.0,0.107,-10.379,0.0437,76.98899999999998,0.614,43.0,9,1,Apple Music
0.9223333333333332,0.613,206741.66666666663,0.3893333333333333,0.2333366666666666,0.3966666666666667,-13.115333333333334,0.4430333333333333,106.593,0.8113333333333334,12.666666666666666,9,1,Spotify
0.3877716078111847,0.7496538729775389,193558.6892085642,0.4969931563028842,0.1400228161531846,0.153321892142785,-10.029274446748698,0.1083556001538276,114.77641834971146,0.8043679321955509,36.25540180201551,7,1,Apple Music
